ensembl_gene_id,symbol,logFC,t,P.Value,p.adj
ENSG00000240849,TMEM189,0.62715361,3.718540524,0.000695494,0.00679448472818312
ENSG00000240857,RDH14,0.081092811,0.109624972,0.913330034,0.960203528175007
ENSG00000240859,AC093627.10,2.43321577,2.472235295,0.018408937,0.0828297139863826
ENSG00000240861,RP11-572F4.1,1.20408591,1.191642944,0.241381973,0.475835010354119
ENSG00000240875,LINC00886,0.483197193,0.659409704,0.513928292,0.726661739928221
ENSG00000240877,RN7SL521P,0.943053425,1.032195573,0.309027694,0.550457119423094
ENSG00000240889,NDUFB2-AS1,1.039827995,1.350389782,0.185518397,0.402927877281008
ENSG00000240891,PLCXD2,0.498369925,0.52449057,0.603228276,0.786727652248042
ENSG00000240893,RP11-572C15.5,-1.886708684,-1.745976267,0.089547458,0.251319314581449
ENSG00000240905,RN7SL798P,4.751250123,5.977302674,8.13e-07,2.94245671378092e-05
ENSG00000240919,RP11-400K9.1,-0.981588302,-1.536274902,0.133420945,0.326388285264478
ENSG00000240925,RPS20P31,1.019783514,1.104832339,0.276734719,0.516337570474499
ENSG00000240954,RPL4P1,-4.924515972,-4.818261607,2.75e-05,0.000513994069343066
ENSG00000240970,RPL23AP64,-0.740073474,-0.897647288,0.375478667,0.615594077788623
ENSG00000240972,MIF,-0.166367714,-0.28182724,0.779727974,0.892334039729096
ENSG00000241007,SEPT7P6,2.435138017,2.706572191,0.010418941,0.0540691716464032
ENSG00000241014,RP11-244H3.1,-0.214252451,-0.481823992,0.632916273,0.803706773181255
ENSG00000241015,TPM3P9,-0.048623213,-0.127665008,0.899141376,0.953614297525498
ENSG00000241043,GVQW1,0.854999508,0.784416549,0.438048266,0.66693271190524
ENSG00000241048,RP11-167H9.5,-0.324681858,-0.41321303,0.681959564,0.834574447012366
ENSG00000241058,NSUN6,-0.361279095,-1.342457872,0.188050436,0.406394470034814
ENSG00000241106,HLA-DOB,0.436943888,0.414541908,0.680995342,0.833693275615251
ENSG00000241112,RPL29P14,0.641640454,0.905158663,0.371541524,0.611868166182169
ENSG00000241127,YAE1D1,-0.492818209,-0.835827076,0.408895788,0.643179409288126
ENSG00000241155,ARHGAP31-AS1,1.314341419,1.444023085,0.157583732,0.363606977925208
ENSG00000241163,LINC00877,2.180985843,1.56300005,0.127008438,0.316434318261795
ENSG00000241170,RP11-147I3.1,-0.806123164,-0.828439781,0.4130092,0.646727829231004
ENSG00000241185,RPL21P122,0.248837268,0.499529551,0.620517647,0.795600175176504
ENSG00000241217,RN7SL809P,0.2991206,0.386853485,0.70119596,0.847133713175277
ENSG00000241229,RN7SL443P,2.364484658,1.68653236,0.10054709,0.271621671983384
ENSG00000241255,RP1-89D4.1,0.474789368,0.555617985,0.581990042,0.773657755377677
ENSG00000241258,CRCP,0.608519253,2.895685816,0.006464397,0.0375988564863714
ENSG00000241280,RP11-221J22.2,1.511388858,2.324566656,0.025992861,0.106005127928529
ENSG00000241288,RP11-379B18.5,-2.405442279,-2.856500608,0.007145295,0.0404117526435671
ENSG00000241294,IGKV2-24,0.553491534,0.880337277,0.384653753,0.62299046921244
ENSG00000241316,SUCLG2-AS1,0.254716934,0.254333387,0.800719423,0.904180440998567
ENSG00000241343,RPL36A,-0.344446733,-0.74713121,0.459951237,0.68509424052534
ENSG00000241351,IGKV3-11,-0.057909014,-0.067266603,0.946750481,0.976397503060213
ENSG00000241360,PDXP,2.162503735,3.320613153,0.00210146,0.0159852982176012
ENSG00000241361,SLC25A24P1,1.004627198,0.981231821,0.333181558,0.575409587501686
ENSG00000241370,RPP21,-0.875955248,-2.548964056,0.015322304,0.0720563355004591
ENSG00000241399,CD302,1.863887732,1.93290274,0.061333012,0.194249652260359
ENSG00000241404,EGFL8,1.245599749,1.380433246,0.176165879,0.390347001764738
ENSG00000241458,RPL7P19,-1.256588523,-2.574697015,0.014398535,0.0687698739741198
ENSG00000241468,ATP5J2,-0.007918995,-0.038680333,0.969364023,0.98668887926293
ENSG00000241484,ARHGAP8,2.671098036,3.00846743,0.004828929,0.0300761965840681
ENSG00000241489,IDS,0.708288462,1.051684602,0.300117979,0.541571247340997
